Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Cárdenas	Tony		O	CA29	2021	8/8/2022	10047078
Hon.	Cárdenas	Tony		X	CA29	2021	4/29/2022	30016515
	Carey	Jan		C	NC11	2021	6/16/2021	10040466
	Carey	Jan		X	NC11	2021	6/1/2021	30014922
	Carey	Mike		A	OH15	2021	8/3/2021	10041252
	Carey	Mike		C	OH15	2021	7/2/2021	10040829
	Carey	Mike		X	OH15	2021	6/15/2021	30014953
Hon.	Carl	Jerry Lee	Jr.	O	AL01	2021	5/12/2022	10047894
	Carra	Stephen		C	MI06	2021	6/10/2021	10040876
Hon.	Carson	André		O	IN07	2021	5/13/2022	10048644
	Carson	Paulette		C	TX08	2021	8/11/2021	10042769
Hon.	Carter	Earl Leroy		A	GA01	2021	9/6/2022	10050382
Hon.	Carter	Earl Leroy		O	GA01	2021	6/14/2022	10049323
Hon.	Carter	Earl Leroy		P	GA01	2021	5/10/2021	20018712
Hon.	Carter	Earl Leroy		P	GA01	2021	5/12/2021	20018726
Hon.	Carter	John R.		O	TX31	2021	5/19/2022	10049259
Hon.	Carter	John R.		X	TX31	2021	5/16/2022	30017349
Hon.	Carter	Troy A.	Jr.	O	LA02	2021	8/12/2022	8219169
Hon.	Carter	Troy A.	Sr	X	LA02	2021	6/7/2022	8218945
Hon.	Cartwright	Matt		O	PA08	2021	8/15/2022	10050098
Hon.	Cartwright	Matt		X	PA08	2021	5/13/2022	8218734
	Cartwright	Nicholas		C	AR02	2021	7/31/2021	10041593
	Caruso	Elizabeth		C	ME02	2021	3/2/2022	10044205
	Caruso	Elizabeth		X	ME02	2021	12/21/2021	30015197
	Casanova Dominguez	Manuel Ignacio		C	NY16	2021	3/4/2022	10043981
	Casanova Dominguez	Manuel Ignacio		X	NY16	2021	11/15/2021	30015146
	Casar	Greg		C	TX35	2021	1/13/2022	10044334
Hon.	Case	Ed		A	HI01	2021	6/5/2022	10049675
Hon.	Case	Ed		O	HI01	2021	5/8/2022	10047702
Hon.	Case	Ed		P	HI01	2021	5/9/2021	20018706
Hon.	Case	Ed		P	HI01	2021	7/25/2021	20019152
Ms.	Casey	Sandy		C	TN03	2021	10/7/2021	10043797
	Casha	Lawrence A.		C	NJ11	2021	11/3/2021	10043924
	Casper	Brandon 8013368524		C	UT03	2021	11/25/2021	10044116
	Castelli	Matt		C	NY21	2021	1/5/2022	10043771
	Castelli	Matt		X	NY21	2021	10/5/2021	30015105
	Castelli	Robert Christian		C	NC07	2021	2/14/2022	10044146
	Castelli	Robert Christian		X	NC07	2021	12/20/2021	30015208
Hon.	Casten	Sean		O	IL06	2021	8/11/2022	10047018
Hon.	Casten	Sean		X	IL06	2021	4/28/2022	30016505
Hon.	Castor	Kathy		O	FL14	2021	5/19/2022	10047068
Hon.	Castor	Kathy		P	FL14	2021	1/4/2021	20017966
Hon.	Castor	Kathy		P	FL14	2021	2/18/2021	20018237
Hon.	Castor	Kathy		P	FL14	2021	4/14/2021	20018576
Hon.	Castor	Kathy		P	FL14	2021	6/14/2021	20018921
Hon.	Castor	Kathy		P	FL14	2021	7/27/2021	20019168
Hon.	Castor	Kathy		P	FL14	2021	7/29/2021	20019181
Hon.	Castor	Kathy		X	FL14	2021	5/13/2022	30017055
	Castorani	John		D	VA07	2021	4/28/2021	40003167
Hon.	Castro	Joaquin		O	TX20	2021	8/12/2022	8219170
Hon.	Castro	Joaquin		X	TX20	2021	5/17/2022	8218827
	Catala	Ryan Joshua		C	TX12	2021	10/1/2021	10043830
	Cavagna	Joseph		C	FL07	2021	7/19/2021	10041566
Hon.	Cawthorn	David Madison		O	NC11	2021	8/7/2022	10046430
