Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Brooks	Mo		P	AL05	2022	6/12/2022	20021197
Hon.	Brooks	Mo		P	AL05	2022	7/19/2022	20021403
Hon.	Brooks	Mo		P	AL05	2022	8/17/2022	20021568
Hon.	Brooks	Mo		P	AL05	2022	12/31/2022	20022197
Dr.	Broun	Paul C.		C	GA10	2022	5/16/2022	10046882
	Brown	Corrine		C	FL10	2022	7/24/2022	10050045
	Brown	Jesse		C	MA09	2022	8/15/2022	10046441
	Brown	Jesse		X	MA09	2022	5/6/2022	30016402
	Brown	Mary Kathleen		C	TX13	2022	6/27/2022	8219037
Hon.	Brown	Shontel M.		O	OH11	2022	8/13/2023	10053753
Hon.	Brown	Shontel M.		X	OH11	2022	5/16/2022	30017334
Hon.	Brown	Shontel M.		X	OH11	2022	5/10/2023	30018475
Hon.	Brownley	Julia		O	CA26	2022	8/11/2023	10051731
Hon.	Brownley	Julia		X	CA26	2022	4/8/2023	30017925
	Brubaker	Richard		D	WY00	2022	1/3/2023	40003428
Hon.	Buchanan	Vern		O	FL16	2022	5/14/2023	10054286
Hon.	Buchanan	Vern		P	FL16	2022	1/17/2022	20020238
Hon.	Buchanan	Vern		P	FL16	2022	3/24/2022	20020684
Hon.	Buck	Kenneth R.		O	CO04	2022	5/16/2023	10051895
Hon.	Buck	Kenneth R.		X	CO04	2022	5/15/2023	30018959
	Buckner	Dwayne		C	SC06	2022	5/11/2022	10047999
	Bucshon	Larry D.		O	IN08	2022	5/7/2023	10052489
	Budzinski	Nikki		C	IL13	2022	5/13/2022	10047073
Hon.	Budzinski	Nikki		A	IL13	2022	5/31/2023	10053097
Hon.	Budzinski	Nikki		H	IL13	2022	5/31/2023	10052878
Hon.	Budzinski	Nikki		X	IL13	2022	5/12/2023	30018779
	Bunn	James (Jim)		C	OR06	2022	4/13/2022	10045045
	Buongiorno	Jeffrey D.		C	FL21	2022	7/20/2022	10050016
	Buongiorno	Jeffrey D.		X	FL21	2022	7/21/2022	8219108
	Burau	Justin		C	IL03	2022	5/17/2022	10046282
Hon.	Burchett	Tim		O	TN02	2022	8/11/2023	10051528
Hon.	Burchett	Tim		X	TN02	2022	4/5/2023	30017884
	Burg	David Loren		W	NJ04	2022	4/28/2022	7849
Hon.	Burgess	Michael C.		O	TX26	2022	8/11/2023	10053913
Hon.	Burgess	Michael C.		P	TX26	2022	1/27/2022	20020305
Hon.	Burgess	Michael C.		P	TX26	2022	2/10/2022	20020315
Hon.	Burgess	Michael C.		P	TX26	2022	3/3/2022	20020545
Hon.	Burgess	Michael C.		P	TX26	2022	3/23/2022	20020632
Hon.	Burgess	Michael C.		P	TX26	2022	4/15/2022	20020798
Hon.	Burgess	Michael C.		P	TX26	2022	4/29/2022	20020895
Hon.	Burgess	Michael C.		P	TX26	2022	6/3/2022	20021120
Hon.	Burgess	Michael C.		P	TX26	2022	6/27/2022	20021277
Hon.	Burgess	Michael C.		P	TX26	2022	6/27/2022	20021279
Hon.	Burgess	Michael C.		P	TX26	2022	8/5/2022	20021443
Hon.	Burgess	Michael C.		P	TX26	2022	9/20/2022	20021716
Hon.	Burgess	Michael C.		P	TX26	2022	11/2/2022	20021890
Hon.	Burgess	Michael C.		P	TX26	2022	11/15/2022	20021932
Hon.	Burgess	Michael C.		P	TX26	2022	11/29/2022	20022051
Hon.	Burgess	Michael C.		P	TX26	2022	12/8/2022	20022087
